Mstar (Msun),Age log(years),Age (Myr),Teff (K),log(L/Lsun),logg (g/cm^3),Rstar (Rsun)
0.01,5.69521,0.49568982,2388,-2.469,3.372,0.341
0.01,5.702261,0.503803291,2387,-2.474,3.377,0.339
0.01,5.709309,0.512046026,2387,-2.479,3.381,0.337
0.01,5.723397,0.528928538,2386,-2.488,3.391,0.334
0.01,5.730433,0.537567494,2386,-2.493,3.395,0.332
0.01,5.744493,0.555255667,2385,-2.503,3.404,0.329
0.01,5.751519,0.564311629,2384,-2.508,3.409,0.327
0.01,5.765566,0.582862346,2383,-2.518,3.418,0.323
0.01,5.772584,0.592357648,2383,-2.523,3.423,0.322
0.01,5.779597,0.602000705,2382,-2.528,3.427,0.32
0.01,5.793615,0.621748863,2381,-2.538,3.437,0.317
0.01,5.800622,0.631861654,2381,-2.543,3.441,0.315
0.01,5.814632,0.652577356,2379,-2.553,3.45,0.312
0.01,5.821635,0.663185466,2379,-2.558,3.455,0.31
0.01,5.835638,0.684917086,2377,-2.568,3.464,0.307
0.01,5.842639,0.696047696,2376,-2.574,3.469,0.305
0.01,5.849638,0.707355932,2376,-2.579,3.473,0.304
0.01,5.863639,0.730531589,2374,-2.589,3.482,0.3
0.01,5.870643,0.74240861,2373,-2.594,3.487,0.299
0.01,5.884662,0.766764504,2372,-2.604,3.496,0.296
0.01,5.891678,0.779252134,2371,-2.61,3.5,0.294
0.01,5.905728,0.804874188,2368,-2.621,3.509,0.291
0.01,5.912768,0.818027681,2366,-2.626,3.514,0.29
0.01,5.919817,0.831413362,2365,-2.632,3.518,0.288
0.01,5.933952,0.858918585,2362,-2.643,3.528,0.285
0.01,5.941039,0.873049765,2360,-2.649,3.532,0.284
0.01,5.955249,0.902088196,2357,-2.66,3.541,0.281
0.01,5.96237,0.917001403,2355,-2.666,3.546,0.279
0.01,5.969501,0.932182617,2354,-2.672,3.55,0.278
0.01,5.983794,0.963371957,2350,-2.683,3.559,0.275
0.01,5.990957,0.97939301,2349,-2.689,3.564,0.274
0.01,6.005314,1.012311103,2345,-2.701,3.573,0.271
0.01,6.012504,1.029210007,2343,-2.706,3.577,0.269
0.01,6.019702,1.046410286,2342,-2.712,3.582,0.268
0.01,6.034119,1.081730313,2338,-2.724,3.59,0.265
0.01,6.041337,1.099858967,2336,-2.73,3.595,0.264
0.01,6.055795,1.137090418,2332,-2.742,3.604,0.261
0.01,6.063033,1.156200093,2330,-2.748,3.608,0.26
0.01,6.070271,1.17563092,2328,-2.754,3.613,0.258
0.01,6.084773,1.215550482,2324,-2.766,3.622,0.256
0.01,6.092029,1.236029967,2322,-2.772,3.626,0.255
0.01,6.099294,1.256880534,2319,-2.778,3.63,0.253
0.01,6.11384,1.299690666,2315,-2.79,3.639,0.251
0.01,6.12112,1.321660772,2313,-2.796,3.644,0.249
0.01,6.135702,1.366790653,2308,-2.808,3.653,0.247
0.01,6.143005,1.389968634,2306,-2.814,3.657,0.246
0.01,6.150317,1.41356896,2303,-2.821,3.661,0.244
0.01,6.164736,1.461288613,2298,-2.833,3.67,0.242
0.01,6.172074,1.486188854,2295,-2.84,3.674,0.241
0.01,6.179428,1.511569081,2292,-2.846,3.679,0.24
0.01,6.194181,1.563799248,2286,-2.86,3.687,0.237
0.01,6.201583,1.590680657,2283,-2.866,3.692,0.236
0.01,6.209003,1.618091215,2280,-2.873,3.696,0.235
0.01,6.22389,1.674518693,2274,-2.886,3.705,0.232
0.01,6.231363,1.703581833,2271,-2.893,3.709,0.231
0.01,6.246363,1.763449389,2264,-2.907,3.718,0.229
0.01,6.253895,1.794299764,2261,-2.914,3.722,0.228
0.01,6.261444,1.825761312,2258,-2.921,3.727,0.227
0.01,6.269015,1.857868622,2254,-2.928,3.731,0.226
0.01,6.284223,1.924079445,2247,-2.942,3.739,0.223
0.01,6.291861,1.958217827,2243,-2.949,3.744,0.222
0.01,6.299523,1.993072055,2240,-2.956,3.748,0.221
0.01,6.31491,2.064952186,2232,-2.97,3.757,0.219
0.01,6.322637,2.102020756,2229,-2.977,3.761,0.218
0.01,6.330385,2.139858223,2225,-2.985,3.765,0.217
0.01,6.345948,2.217930841,2217,-2.999,3.774,0.215
0.01,6.353762,2.258197904,2213,-3.007,3.778,0.214
0.01,6.361598,2.299312498,2209,-3.014,3.782,0.213
0.01,6.369455,2.341288867,2205,-3.022,3.787,0.212
0.01,6.385234,2.427917917,2196,-3.037,3.795,0.21
0.01,6.39315,2.472577996,2192,-3.045,3.799,0.208
0.01,6.401087,2.518181332,2188,-3.052,3.804,0.207
0.01,6.40904,2.564720245,2184,-3.06,3.808,0.206
0.01,6.425004,2.660749566,2175,-3.075,3.816,0.204
0.01,6.433016,2.710291481,2170,-3.083,3.82,0.203
0.01,6.441049,2.760889341,2166,-3.091,3.825,0.203
0.01,6.449103,2.812567798,2161,-3.099,3.829,0.202
0.01,6.465282,2.919321999,2152,-3.115,3.837,0.2
0.01,6.473408,2.974459089,2147,-3.123,3.841,0.199
0.01,6.481562,3.030832949,2142,-3.131,3.846,0.198
0.01,6.489743,3.088467247,2137,-3.139,3.85,0.197
0.01,6.506198,3.207731434,2127,-3.156,3.858,0.195
0.01,6.514472,3.269429674,2122,-3.164,3.862,0.194
0.01,6.522779,3.332567848,2117,-3.172,3.866,0.193
0.01,6.531121,3.397199097,2112,-3.181,3.87,0.192
0.01,6.539498,3.463362897,2106,-3.189,3.875,0.191
0.01,6.55636,3.60047666,2094,-3.207,3.883,0.189
0.01,6.564862,3.671656126,2088,-3.217,3.887,0.189
0.01,6.573421,3.744734225,2081,-3.227,3.891,0.188
0.01,6.582037,3.819768122,2074,-3.236,3.895,0.187
0.01,6.590713,3.896843818,2067,-3.246,3.899,0.186
0.01,6.599444,3.97597825,2060,-3.256,3.903,0.185
0.01,6.617082,4.140778503,2046,-3.277,3.911,0.183
0.01,6.625987,4.226559625,2039,-3.287,3.916,0.182
0.01,6.634951,4.314703927,2031,-3.297,3.92,0.182
0.01,6.643971,4.405254465,2024,-3.308,3.924,0.181
0.01,6.653048,4.498295691,2016,-3.318,3.928,0.18
0.01,6.662184,4.593926051,2009,-3.329,3.932,0.179
0.01,6.671377,4.692205238,2001,-3.34,3.936,0.178
0.01,6.680627,4.793215996,1988,-3.354,3.94,0.177
0.01,6.690018,4.897991194,1975,-3.37,3.944,0.177
0.01,6.699242,5.003132447,1961,-3.386,3.948,0.176
0.01,6.718837,5.23403955,1933,-3.42,3.955,0.174
0.01,6.728901,5.356745334,1918,-3.437,3.959,0.173
0.01,6.739151,5.484676287,1902,-3.455,3.963,0.173
0.01,6.749593,5.618145727,1893,-3.467,3.967,0.172
0.01,6.760093,5.755631755,1885,-3.479,3.971,0.171
0.01,6.770617,5.896808171,1877,-3.49,3.975,0.17
0.01,6.781146,6.041516974,1869,-3.502,3.979,0.17
0.01,6.791656,6.189506167,1861,-3.513,3.983,0.169
0.01,6.802137,6.340696996,1852,-3.525,3.987,0.168
0.01,6.812598,6.495281832,1844,-3.536,3.991,0.167
0.01,6.823039,6.65332901,1836,-3.548,3.994,0.167
0.01,6.833459,6.81489235,1827,-3.559,3.998,0.166
0.01,6.843869,6.98021822,1819,-3.571,4.002,0.165
0.01,6.854282,7.149604199,1811,-3.583,4.005,0.164
0.01,6.8647,7.323184907,1803,-3.594,4.009,0.164
0.01,6.875107,7.500789885,1784,-3.616,4.013,0.163
0.01,6.885804,7.687834049,1760,-3.642,4.016,0.162
0.01,6.896882,7.886458095,1737,-3.669,4.02,0.162
0.01,6.908324,8.096997403,1714,-3.696,4.023,0.161
0.01,6.920144,8.320396066,1692,-3.721,4.026,0.161
0.01,6.932291,8.556398443,1673,-3.744,4.03,0.16
0.01,6.944686,8.804120946,1654,-3.767,4.033,0.159
0.01,6.957357,9.064774399,1635,-3.791,4.036,0.159
0.01,6.970319,9.339400509,1615,-3.815,4.04,0.158
0.01,6.983581,9.62899586,1597,-3.839,4.043,0.157
0.01,6.997108,9.933630464,1584,-3.856,4.046,0.157
0.01,7.010724,10.25000318,1570,-3.874,4.05,0.156
0.01,7.024432,10.57869266,1557,-3.892,4.053,0.156
0.01,7.038247,10.92061257,1544,-3.911,4.056,0.155
0.01,7.052155,11.27599826,1530,-3.929,4.059,0.155
0.01,7.066169,11.64579122,1517,-3.947,4.062,0.154
0.01,7.080287,12.03059204,1504,-3.965,4.066,0.153
0.01,7.094513,12.43119846,1496,-3.978,4.069,0.153
0.01,7.108629,12.84189161,1490,-3.988,4.072,0.152
0.01,7.12258,13.26111374,1484,-3.998,4.075,0.152
0.01,7.136375,13.68910328,1478,-4.008,4.078,0.151
0.01,7.150028,14.12628617,1472,-4.019,4.081,0.151
0.01,7.163549,14.57300118,1466,-4.029,4.084,0.15
0.01,7.176942,15.02941235,1459,-4.039,4.087,0.15
0.01,7.190214,15.49579991,1453,-4.05,4.09,0.149
0.01,7.203376,15.97261413,1447,-4.06,4.093,0.149
0.01,7.216427,16.45989271,1441,-4.071,4.096,0.148
0.01,7.229375,16.95801441,1434,-4.082,4.099,0.148
0.01,7.242228,17.46738932,1428,-4.092,4.102,0.147
0.01,7.254988,17.98821211,1421,-4.103,4.105,0.147
0.01,7.267648,18.52029926,1415,-4.114,4.108,0.146
0.01,7.280209,19.06377923,1408,-4.125,4.111,0.146
0.01,7.292677,19.619006,1401,-4.136,4.114,0.145
0.01,7.305055,20.1862199,1395,-4.146,4.116,0.145
0.01,7.317439,20.77011973,1389,-4.157,4.119,0.144
0.01,7.329733,21.36648095,1383,-4.167,4.122,0.144
